WKT,location,start_date,end_date,crs,date_recorded
"POLYGON ((-72.7833333333333 40.5833333333333,-73.6666666666667 40.5833333333333,-73.6666666666667 39.9333333333333,-72.7833333333333 39.9333333333333,-72.7833333333333 40.5833333333333))","Southeast of New York, NY",2024/03/11 00:00:00,,"4326",2024/03/19 00:00:00
"POLYGON ((-69.0333333333333 41.65,-70.05 41.65,-70.05 40.9166666666667,-69.0333333333333 40.9166666666667,-69.0333333333333 41.65))","East of Nantucket, MA",2024/03/18 00:00:00,2024/04/02 00:00:00,"4326",2024/03/20 00:00:00
"POLYGON ((-74.2166666666667 38.6333333333333,-75.0666666666667 38.6333333333333,-75.0666666666667 37.9666666666667,-74.2166666666667 37.9666666666667,-74.2166666666667 38.6333333333333))","East of Ocean City, MD",2024/03/14 00:00:00,,"4326",2024/03/20 00:00:00
"POLYGON ((-69.8833333333333 41.2166666666667,-70.8333333333333 41.2166666666667,-70.8333333333333 40.55,-69.8833333333333 40.55,-69.8833333333333 41.2166666666667))","Southwest of Nantucket, MA",2024/03/13 00:00:00,,"4326",2024/03/20 00:00:00
"POLYGON ((-72.7833333333333 40.5833333333333,-73.6666666666667 40.5833333333333,-73.6666666666667 39.9333333333333,-72.7833333333333 39.9333333333333,-72.7833333333333 40.5833333333333))","Southeast of New York, NY",2024/03/11 00:00:00,,"4326",2024/03/20 00:00:00
"POLYGON ((-69.0333333333333 41.65,-70.05 41.65,-70.05 40.9166666666667,-69.0333333333333 40.9166666666667,-69.0333333333333 41.65))","East of Nantucket, MA",2024/03/18 00:00:00,2024/04/02 00:00:00,"4326",2024/03/21 00:00:00
"POLYGON ((-74.2166666666667 38.6333333333333,-75.0666666666667 38.6333333333333,-75.0666666666667 37.9666666666667,-74.2166666666667 37.9666666666667,-74.2166666666667 38.6333333333333))","East of Ocean City, MD",2024/03/14 00:00:00,,"4326",2024/03/21 00:00:00
"POLYGON ((-69.8833333333333 41.2166666666667,-70.8333333333333 41.2166666666667,-70.8333333333333 40.55,-69.8833333333333 40.55,-69.8833333333333 41.2166666666667))","Southwest of Nantucket, MA",2024/03/13 00:00:00,,"4326",2024/03/21 00:00:00
"POLYGON ((-72.7833333333333 40.5833333333333,-73.6666666666667 40.5833333333333,-73.6666666666667 39.9333333333333,-72.7833333333333 39.9333333333333,-72.7833333333333 40.5833333333333))","Southeast of New York, NY",2024/03/11 00:00:00,,"4326",2024/03/21 00:00:00
"POLYGON ((-72.7833333333333 40.5833333333333,-73.6666666666667 40.5833333333333,-73.6666666666667 39.9333333333333,-72.7833333333333 39.9333333333333,-72.7833333333333 40.5833333333333))","Southeast of New York, NY",2024/03/20 00:00:00,2024/04/04 00:00:00,"4326",2024/03/22 00:00:00
"POLYGON ((-69.0333333333333 41.65,-70.05 41.65,-70.05 40.9166666666667,-69.0333333333333 40.9166666666667,-69.0333333333333 41.65))","East of Nantucket, MA",2024/03/18 00:00:00,2024/04/02 00:00:00,"4326",2024/03/22 00:00:00
"POLYGON ((-74.2166666666667 38.6333333333333,-75.0666666666667 38.6333333333333,-75.0666666666667 37.9666666666667,-74.2166666666667 37.9666666666667,-74.2166666666667 38.6333333333333))","East of Ocean City, MD",2024/03/14 00:00:00,,"4326",2024/03/22 00:00:00
"POLYGON ((-69.8833333333333 41.2166666666667,-70.8333333333333 41.2166666666667,-70.8333333333333 40.55,-69.8833333333333 40.55,-69.8833333333333 41.2166666666667))","Southwest of Nantucket, MA",2024/03/13 00:00:00,,"4326",2024/03/22 00:00:00
"POLYGON ((-72.7833333333333 40.5833333333333,-73.6666666666667 40.5833333333333,-73.6666666666667 39.9333333333333,-72.7833333333333 39.9333333333333,-72.7833333333333 40.5833333333333))","Southeast of New York, NY",2024/03/20 00:00:00,2024/04/04 00:00:00,"4326",2024/03/23 00:00:00
"POLYGON ((-69.0333333333333 41.65,-70.05 41.65,-70.05 40.9166666666667,-69.0333333333333 40.9166666666667,-69.0333333333333 41.65))","East of Nantucket, MA",2024/03/18 00:00:00,2024/04/02 00:00:00,"4326",2024/03/23 00:00:00
"POLYGON ((-74.2166666666667 38.6333333333333,-75.0666666666667 38.6333333333333,-75.0666666666667 37.9666666666667,-74.2166666666667 37.9666666666667,-74.2166666666667 38.6333333333333))","East of Ocean City, MD",2024/03/14 00:00:00,,"4326",2024/03/23 00:00:00
"POLYGON ((-69.8833333333333 41.2166666666667,-70.8333333333333 41.2166666666667,-70.8333333333333 40.55,-69.8833333333333 40.55,-69.8833333333333 41.2166666666667))","Southwest of Nantucket, MA",2024/03/13 00:00:00,,"4326",2024/03/23 00:00:00
"POLYGON ((-72.7833333333333 40.5833333333333,-73.6666666666667 40.5833333333333,-73.6666666666667 39.9333333333333,-72.7833333333333 39.9333333333333,-72.7833333333333 40.5833333333333))","Southeast of New York, NY",2024/03/20 00:00:00,2024/04/04 00:00:00,"4326",2024/03/24 00:00:00
"POLYGON ((-69.0333333333333 41.65,-70.05 41.65,-70.05 40.9166666666667,-69.0333333333333 40.9166666666667,-69.0333333333333 41.65))","East of Nantucket, MA",2024/03/18 00:00:00,2024/04/02 00:00:00,"4326",2024/03/24 00:00:00
"POLYGON ((-74.2166666666667 38.6333333333333,-75.0666666666667 38.6333333333333,-75.0666666666667 37.9666666666667,-74.2166666666667 37.9666666666667,-74.2166666666667 38.6333333333333))","East of Ocean City, MD",2024/03/14 00:00:00,,"4326",2024/03/24 00:00:00
"POLYGON ((-69.8833333333333 41.2166666666667,-70.8333333333333 41.2166666666667,-70.8333333333333 40.55,-69.8833333333333 40.55,-69.8833333333333 41.2166666666667))","Southwest of Nantucket, MA",2024/03/13 00:00:00,,"4326",2024/03/24 00:00:00
